file,words,digits,caps_words,exclaims,punct_per_100w,trigger_hits,triggers_per_100w,repetition,degenerate
ad01,33,2,1,0,15.151515151515152,0,0.0,0.0,False
ad02,593,10,2,0,13.490725126475548,0,0.0,0.01,False
ad03,46,2,0,0,21.73913043478261,0,0.0,0.0,False
ad04,139,9,2,0,10.071942446043165,0,0.0,0.0,False
ad05,16,1,0,0,12.5,0,0.0,0.0,False
ad06,131,5,2,0,11.450381679389313,0,0.0,0.0,False
ad07,113,4,0,1,13.274336283185841,0,0.0,0.0,False
ad08,113,4,0,1,13.274336283185841,0,0.0,0.0,False
ad09,108,0,4,0,8.333333333333334,0,0.0,0.0,False
ad10,106,0,0,0,22.641509433962263,1,0.94,0.09,False
ad11,71,5,1,0,25.35211267605634,0,0.0,0.04,False
ad12,113,0,0,0,16.8141592920354,0,0.0,0.0,False
ad13,113,0,0,0,16.8141592920354,0,0.0,0.0,False
ad14,113,0,0,0,15.929203539823009,0,0.0,0.03,False
ad15,113,0,0,0,15.929203539823009,0,0.0,0.03,False
ad16,82,0,0,0,15.853658536585366,0,0.0,0.05,False
ad17,186,1,3,0,15.053763440860216,1,0.54,0.0,False
ad18,113,1,0,0,12.389380530973451,0,0.0,0.03,False
ad19,137,0,1,0,13.86861313868613,0,0.0,0.0,False
ad20,48,0,2,0,14.583333333333334,0,0.0,0.0,False
ad21,142,0,0,0,5.633802816901408,0,0.0,0.03,False
ad22,53,0,1,0,30.18867924528302,0,0.0,0.0,False
ad23,46,2,0,0,21.73913043478261,0,0.0,0.0,False
ad24,118,1,0,0,16.949152542372882,0,0.0,0.0,False
ad25,49,0,0,0,18.367346938775512,1,2.04,0.0,False
ad26,73,3,0,0,19.17808219178082,0,0.0,0.0,False
ad27,124,9,4,0,4.032258064516129,1,0.81,0.05,False
ad28,184,12,3,1,15.76086956521739,0,0.0,0.19,False
ad29,90,11,1,0,16.666666666666668,0,0.0,0.0,False
ad30,107,0,1,0,6.542056074766355,0,0.0,0.03,False
ad31,175,6,1,0,12.0,0,0.0,0.02,False
ad32,97,4,2,0,17.52577319587629,0,0.0,0.03,False
ad33,225,1,1,0,7.555555555555555,0,0.0,0.02,False
ad34,262,10,2,0,12.213740458015268,1,0.38,0.02,False
ad35,132,1,1,0,9.848484848484848,0,0.0,0.03,False
ad36,292,8,3,0,9.246575342465754,0,0.0,0.01,False
ad37,124,0,1,0,14.516129032258064,1,0.81,0.0,False
ad38,78,0,0,0,7.6923076923076925,1,1.28,0.04,False
ad39,101,1,1,0,17.821782178217823,0,0.0,0.0,False
ad41,217,6,4,0,10.599078341013826,0,0.0,0.01,False
ad42,102,3,0,1,11.764705882352942,0,0.0,0.04,False
